x, y, coefficient, p-value
Answer.BookRead , Answer.BookOwned , 0.838424668721 , 2.24352699696e-28
Answer.ChildrenHave , Answer.ChildrenWant , 0.735374765321 , 9.13952273363e-19
Answer.Paris , Answer.CountriesBeenTo , -0.623617935976 , 1.97735818911e-12
Answer.CountriesBeenTo , Answer.OnlineShopping , 0.533310687414 , 6.63614168373e-09
Answer.Gender , Answer.Height , -0.508437979505 , 4.18258713517e-08
Answer.GameOfThrones , Answer.PokemonGo , 0.496424225857 , 9.66764857015e-08
Answer.MaritalStatus , Answer.HouseHoldIncome , -0.493518238259 , 1.17831004935e-07
Answer.Snow , Answer.Rain , 0.447855750487 , 2.10086275918e-06
Answer.NuclearEnergy , Answer.GlobalEconomy , 0.439570702615 , 3.39325562686e-06
Answer.DNA , Answer.GMO , 0.431671889615 , 5.29783098354e-06
Answer.CountriesBeenTo , Answer.Skydiving , -0.424220086631 , 7.98426410185e-06
Answer.Gender , Answer.HairDrying , 0.423612030753 , 8.25249475039e-06
Answer.marijuana , Answer.Religious , -0.418456041965 , 1.08932960466e-05
Answer.NuclearEnergy , Answer.GMO , 0.413533396312 , 1.41398152681e-05
Answer.StartupOrCorporation , Answer.Alien , 0.405915374681 , 2.10032673144e-05
Answer.Car , Answer.HouseHoldIncome , 0.405722937267 , 2.12116193926e-05
Answer.Religious , Answer.GlobalWarming , -0.40347145532 , 2.37976986559e-05
Answer.Continent , Answer.Newspaper , 0.40263783072 , 2.48280287709e-05
Answer.ChildrenHave , Answer.Car , 0.398725910346 , 3.02459967992e-05
Answer.Religious , Answer.Darwin , -0.397372423241 , 3.23652299201e-05
Answer.Gender , Answer.GMO , 0.389909282441 , 4.67706714677e-05
Answer.GunControl , Answer.Brexit , -0.387471491117 , 5.26472646833e-05
Answer.MaritalStatus , Answer.Car , -0.383371159915 , 6.41101997639e-05
Answer.Pillow , Answer.BookOwned , 0.381552488057 , 6.99055268578e-05
Answer.Darwin , Answer.GlobalWarming , 0.380624151801 , 7.30484990868e-05
Answer.marijuana , Answer.Education , 0.377542144755 , 8.44522031272e-05
Answer.DNA , Answer.Religious , -0.376274511612 , 8.96067450815e-05
Answer.ChildrenHave , Answer.Gender , 0.374378106742 , 9.78668855278e-05
Answer.Unicorn , Answer.Astrology , 0.371887958389 , 0.000109790188011
Answer.DNA , Answer.Darwin , 0.368372808892 , 0.000128930999384
Answer.Pillow , Answer.DinerWith , -0.362960978079 , 0.000164534493511
Answer.Newspaper , Answer.Unicorn , 0.360699400378 , 0.000181953037264
Answer.OnlineShopping , Answer.WritingHand , 0.356496912116 , 0.00021893297362
Answer.Religious , Answer.Alien , -0.3472288862 , 0.000326311561916
Answer.Gender , Answer.BathOrShower , -0.346573002402 , 0.000335504233327
Answer.Religious , Answer.LeiaOrSkywalker , -0.343807202964 , 0.000376954802082
Answer.NuclearEnergy , Answer.Olympics , 0.341270718659 , 0.00041906243053
Answer.CountriesBeenTo , Answer.HouseHoldIncome , 0.340364594398 , 0.000435124805654
Answer.GameOfThrones , Answer.Gender , 0.337557219081 , 0.000488552407352
Answer.Newspaper , Answer.Astrology , 0.337530730042 , 0.000489084044883
Answer.Sauna , Answer.Gym , 0.33679395648 , 0.000504085806431
Answer.DNA , Answer.Gender , 0.332700373784 , 0.000595413705221
Answer.MaritalStatus , Answer.Religious , 0.331639458711 , 0.000621439178577
Answer.Darwin , Answer.GMO , 0.32801200056 , 0.00071850083425
Answer.Age , Answer.HairDrying , 0.327323581192 , 0.000738417616441
Answer.HouseHoldIncome , Answer.Kindle , -0.322510924978 , 0.000892378542341
Answer.Paris , Answer.Skydiving , 0.316631796496 , 0.00111999089446
Answer.DNA , Answer.NuclearEnergy , 0.316388831642 , 0.00113044540801
Answer.NuclearEnergy , Answer.Gender , 0.315052762808 , 0.00118953958362
Answer.CountriesBeenTo , Answer.Education , 0.312837677304 , 0.00129373403727
Answer.Brexit , Answer.DinerWith , 0.312168432658 , 0.00132680816224
Answer.Astrology , Answer.Religious , 0.311153746213 , 0.00137842159094
Answer.TV , Answer.InternetBrowser , 0.309487915654 , 0.00146712356651
Answer.Potato , Answer.LeiaOrSkywalker , 0.308404399639 , 0.00152756700819
Answer.Sauna , Answer.HouseHoldIncome , -0.30774677984 , 0.00156534487585
Answer.NuclearEnergy , Answer.MailService , 0.307728752086 , 0.0015663923348
Answer.Continent , Answer.Astrology , 0.307103415174 , 0.00160312183746
Answer.PhoneBrand , Answer.SmartphoneOS , 0.306725645303 , 0.00162568696032
Answer.Astrology , Answer.GMO , -0.306553523373 , 0.00163606338726
Answer.Unicorn , Answer.RentOrBuyHouse , 0.305872786673 , 0.00167769266452
Answer.GameOfThrones , Answer.Snow , 0.304742518138 , 0.00174893650282
Answer.marijuana , Answer.MaritalStatus , -0.303010543051 , 0.00186343393924
Answer.DrinkForDinner , Answer.Drunk , 0.302832128114 , 0.0018756057968
Answer.ChildrenHave , Answer.FlightSeat , -0.302455888905 , 0.00190150976427
